"num","team","epa_rank","total_epa","norm_epa","unitless_epa","auto_epa","teleop_epa","endgame_epa","rp_1_epa","rp_2_epa","next_event_key","next_event_name","next_event_week","record","winrate"
"4270","Crusaders","132","54.6","1710","1765","11.8","30.8","12","0.66","0.61","2023cc","Chezy Champs","9","42-20-1","0.675"
"4476","W.A.F.F.L.E.S.","133","54.6","1710","1765","14.3","31.4","8.9","0.35","0.51","N/A","N/A","N/A","45-13-0","0.776"
"3171","HURRICANES","134","54.5","1709","1764","13.9","31","9.6","0.48","0.42","N/A","N/A","N/A","20-9-0","0.690"
"180","S.P.A.M.","135","54.5","1709","1764","16.8","30","7.7","0.52","0.64","N/A","N/A","N/A","46-20-1","0.694"
"3015","Ranger Robotics","136","54.4","1708","1764","14.3","31.2","8.9","0.64","0.45","N/A","N/A","N/A","44-14-0","0.759"
"5472","Stallion Robotics: The Wyld...","137","54.4","1708","1764","14.1","31.8","8.6","0.7","0.43","N/A","N/A","N/A","43-19-1","0.690"
"488","Team XBOT","138","54.4","1708","1764","13.3","30.1","11","0.49","0.5","N/A","N/A","N/A","35-23-0","0.603"
"1757","Wolverines","139","54.4","1707","1763","15.3","29","10.1","0.49","0.4","N/A","N/A","N/A","45-17-1","0.722"
"2930","Sonic Squirrels","140","54.4","1707","1763","17.2","29.2","7.9","0.46","0.3","N/A","N/A","N/A","44-18-0","0.710"
"4020","Cyber Tribe","141","54.3","1707","1763","15.1","33.5","5.7","0.44","0.3","N/A","N/A","N/A","28-11-0","0.718"
"1351","TKO","142","54.3","1707","1763","12.8","33.1","8.3","0.56","0.3","2023cc","Chezy Champs","9","19-7-0","0.731"
"4946","The Alpha Dogs","143","54.3","1707","1763","15.5","29.5","9.4","0.59","0.39","N/A","N/A","N/A","45-21-0","0.682"
"876","Thunder Robotics","144","54.3","1706","1762","17.2","28.8","8.3","0.5","0.38","N/A","N/A","N/A","29-14-0","0.674"
"7021","TC Robotics","145","54.2","1706","1762","13.5","30.4","10.2","0.49","0.49","N/A","N/A","N/A","37-21-0","0.638"
"7890","SeQuEnCe","146","54.1","1705","1761","15.3","30","8.8","0.3","0.56","N/A","N/A","N/A","48-10-3","0.811"
"4907","Thunderstamps","147","54.1","1705","1761","14.1","32.4","7.6","0.67","0.35","N/A","N/A","N/A","49-17-0","0.742"
"5199","Robot Dolphins From Outer S...","148","54.1","1705","1761","13.3","33.3","7.5","0.46","0.28","2023cass","SoCal Showdown","9","42-14-0","0.750"
"4728","ROCORI Ratcheteers","149","54.1","1704","1761","14","31","9.1","0.64","0.46","N/A","N/A","N/A","27-7-0","0.794"
"696","Circuit Breakers","150","53.9","1702","1759","11","35.4","7.5","0.21","0.21","2023cass","SoCal Showdown","9","19-12-1","0.609"
"4467","Titanium Titans","151","53.9","1702","1759","14.5","34.2","5.2","0.49","0.3","2023pascs","Steel City Showdown","9","12-13-0","0.480"
"5987","Galaxia in memory of David ...","152","53.9","1702","1759","14.9","30.5","8.4","0.43","0.3","N/A","N/A","N/A","35-22-1","0.612"
"3990","Tech for Kids","153","53.8","1702","1759","15.6","29.8","8.4","0.39","0.49","N/A","N/A","N/A","28-10-0","0.737"
"245","Adambots","154","53.8","1701","1758","13.8","31.3","8.7","0.54","0.39","N/A","N/A","N/A","52-21-0","0.712"
"5913","Patriotics","155","53.6","1699","1757","12.7","34.9","6","0.32","0.26","N/A","N/A","N/A","30-8-0","0.789"
"2630","Thunderbolts","156","53.5","1698","1756","10.9","34.7","7.9","0.58","0.43","N/A","N/A","N/A","41-22-0","0.651"
